,city_fixed,address_fixed,full_2,full_3
14753,Київ Школа №23,Київ вул. Салютна 11-А, м.Київ  Шевченківський  Шевченківський район міста  вул. Салютна  11-А, Шевченківський  Шевченківський район міста  вул. Салютна  11-А
14756,Київ Школа №2,Київ вул. Копилівська 36, м.Київ  Подільський  Подільський район міста  вул. Копилівська  36, Подільський  Подільський район міста  вул. Копилівська  36
14757,Київ Школа №3,Київ просп. Правди 84, м.Київ  Подільський  Подільський район міста  просп. Правди  84, Подільський  Подільський район міста  просп. Правди  84
14758,Київ Школа №5,Київ вул. Вишгородська 35, м.Київ  Подільський  Подільський район міста  вул. Вишгородська  35, Подільський  Подільський район міста  вул. Вишгородська  35
14759,Київ Школа №6,Київ просп. Георгія Гонгадзе 20-і, м.Київ  Подільський  Подільський район міста  просп. Георгія Гонгадзе  20-і, Подільський  Подільський район міста  просп. Георгія Гонгадзе  20-і
14760,Київ Школа №6,Київ вул. Світлицького 31/7, м.Київ  Подільський  Подільський район міста  вул. Світлицького  31/7, Подільський  Подільський район міста  вул. Світлицького  31/7
14761,Київ Школа №10,Київ вул. Костянтинівська 37, м.Київ  Подільський  Подільський район міста  вул. Костянтинівська  37, Подільський  Подільський район міста  вул. Костянтинівська  37
14762,Київ Школа №17,Київ вул. Кирилівська 8, м.Київ  Подільський  Подільський район міста  вул. Кирилівська  8, Подільський  Подільський район міста  вул. Кирилівська  8
14763,Київ Школа №19,Київ вул. Межигірська 16, м.Київ  Подільський  Подільський район міста  вул. Межигірська  16, Подільський  Подільський район міста  вул. Межигірська  16
14764,Київ Школа №19,Київ вул. Білицька 55, м.Київ  Подільський  Подільський район міста  вул. Білицька  55, Подільський  Подільський район міста  вул. Білицька  55
14765,Київ Школа №34,Київ вул. Межова 22, м.Київ  Подільський  Подільський район міста  вул. Межова  22, Подільський  Подільський район міста  вул. Межова  22
14766,Київ Школа №45,Київ вул. Маршала Гречка 22 А, м.Київ  Подільський  Подільський район міста  вул. Маршала Гречка  22 А, Подільський  Подільський район міста  вул. Маршала Гречка  22 А
14767,Київ Школа №63,Київ вул. Маршала Гречка 10-А, м.Київ  Подільський  Подільський район міста  вул. Маршала Гречка  10-А, Подільський  Подільський район міста  вул. Маршала Гречка  10-А
14768,Київ Школа №68,Київ вул. Білицька 41/43, м.Київ  Подільський  Подільський район міста  вул. Білицька  41/43, Подільський  Подільський район міста  вул. Білицька  41/43
14769,Київ Школа №93,Київ пров. Межовий 7, м.Київ  Подільський  Подільський район міста  пров. Межовий  7, Подільський  Подільський район міста  пров. Межовий  7
14770,Київ Школа №100,Київ вул. Покровська 4/6, м.Київ  Подільський  Подільський район міста  вул. Покровська  4/6, Подільський  Подільський район міста  вул. Покровська  4/6
14771,Київ Школа №107,Київ вул. Введенська 35, м.Київ  Подільський  Подільський район міста  вул. Введенська  35, Подільський  Подільський район міста  вул. Введенська  35
14772,Київ Школа №114,Київ вул. Кирилівська 87/89, м.Київ  Подільський  Подільський район міста  вул. Кирилівська  87/89, Подільський  Подільський район міста  вул. Кирилівська  87/89
14773,Київ Школа №118,Київ вул. Тульчинська 5, м.Київ  Подільський  Подільський район міста  вул. Тульчинська  5, Подільський  Подільський район міста  вул. Тульчинська  5
14774,Київ Школа №123,Київ вул. Копилівська 23, м.Київ  Подільський  Подільський район міста  вул. Копилівська  23, Подільський  Подільський район міста  вул. Копилівська  23
14775,Київ Школа №124,Київ вул. Спаська 16, м.Київ  Подільський  Подільський район міста  вул. Спаська  16, Подільський  Подільський район міста  вул. Спаська  16
14776,Київ Школа №156,Київ вул. Западинська 10, м.Київ  Подільський  Подільський район міста  вул. Западинська  10, Подільський  Подільський район міста  вул. Западинська  10
14777,Київ Школа №193,Київ вул. Світлицького 22, м.Київ  Подільський  Подільський район міста  вул. Світлицького  22, Подільський  Подільський район міста  вул. Світлицького  22
14778,Київ Школа №242,Київ просп. Правди 64Г, м.Київ  Подільський  Подільський район міста  просп. Правди  64Г, Подільський  Подільський район міста  просп. Правди  64Г
14779,Київ Школа №243,Київ вул. Новомостицька 10, м.Київ  Подільський  Подільський район міста  вул. Новомостицька  10, Подільський  Подільський район міста  вул. Новомостицька  10
